Balanced Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,,,,,,,
Sample_ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K,,,,,,
"Almeev, R.A., Holtz, F., Koepke, J., Parat, F., Botcharnikov, R.E. (2007)-#146",50.1,1.54,14.78,11.35,0.23,7.52,11.49,2.4,0.09,,,,,50.42,0.62,6.72,7.21,0.19,15.55,17.27,0.61,0.01,,,0.2047,1448.15,,,,,,
"Almeev, R.A., Holtz, F., Koepke, J., Parat, F., Botcharnikov, R.E. (2007)-#62",50.4,1.19,15.76,9.52,0.18,7.98,12.2,2.3,0.07,,,,,51.14,0.61,5.31,7.68,0.15,16.36,16.34,0.81,0.04,,,0.2037,1443.15,,,,,,
Andujar and Scaillet (2012)-MB-111,59.9,0.7,19,2.96,0.21,0.32,0.66,10.6,5.7,0,0,4.56,,50.3,1.38,2.25,12.9,1.04,10.1,20.4,1.66,0,0,,0.2,1123.15,,,,,,
Andujar and Scaillet (2012)-MB-113,59.6,0.6,19,3.11,0.22,0.29,0.68,10.8,5.7,0,0,3.31,,50.5,1,1.65,13.1,1.11,10.7,21.3,0.71,0,0,,0.2,1123.15,,,,,,
Andujar and Scaillet (2012)-MB-57,61.5,0.31,19.4,2.67,0.15,0.18,0.45,10.1,5.21,0,0,5.53,,50.6,0.96,2.13,14.9,1.3,7.2,19.9,1.7,0.3,0,,0.2,1073.15,,,,,,
Andujar et al. (2008)-20,62.4,0.38,20.3,2.4,0.22,0.14,0.4,9.6,4.2,0,0,9.9,,47.4,2.51,3.62,13.83,1.78,8.13,16.4,4.37,0.04,0,,0.25,1048.15,,,,,,
Andujar et al. (2008)-27b,61,0.4,20.7,2.5,0.25,0.08,0.32,10.6,4.1,0,0,9.6,,46.1,4.23,3.78,18.91,1.79,3.92,16.72,3.77,0.03,0,,0.2,1023.15,,,,,,
Andujar et al. (2010)-LN-21,61.5,0.5,20.2,2.07,0.15,0.22,0.76,9.1,5.5,0,0,3.9,,49.9,1.3,3.21,8.8,0.88,12.8,21.3,1.73,0,0,,0.2,1160.15,,,,,,
Andujar et al. (2010)-LN-25,61.3,0.44,19.3,2.53,0.16,0.3,0.82,9.2,5.8,0,0,1.9,,48.4,1.9,3.82,10.11,0.75,12.8,20.7,1.54,0,0,,0.1,1198.15,,,,,,
"Auwera, J. V., and Longhi, J. (1994)-TJ-10",49.4,4.09,15.8,13.2,0.13,3.47,6.4,3.72,1.24,,0.85,,,47.3,1.78,8.86,14.1,0.22,12.9,13.1,1.14,,0.03,,1.3,1433.15,,,,,,
"Auwera, J. V., and Longhi, J. (1994)-TJ-13",48.6,3.49,15.5,14,0.12,2.96,6.44,3.14,1.46,,1.38,,,48.8,1.4,7.59,16.4,0.22,12.7,12.3,0.85,,0.02,,1.3,1403.15,,,,,,
"Auwera, J. V., and Longhi, J. (1994)-TJ-14",50.6,4.18,15.6,11.7,0.1,3.37,6.59,3.93,1.1,0.01,1.34,,,48.6,1.87,10.2,12,0.16,12.6,14.3,1.77,,0.03,,1.6,1473.15,,,,,,
"Auwera, J. V., and Longhi, J. (1994)-TJ-33/2",66.1,2.14,13.4,5.81,0.1,1.63,3.73,2.28,2.88,,1.05,,,51.4,0.8,1.75,10.9,0.29,13.9,19.8,0.33,,0.01,,0.0001,1344.15,,,,,,
"Auwera, J. V., and Longhi, J. (1994)-TJ-34",60.7,2.34,13.2,7.25,0.16,2.98,5.77,2.79,2.2,,1.72,,,52.5,0.33,1.58,9.89,0.24,13.29,22.5,0.37,,0.05,,0.0001,1358.15,,,,,,
"Auwera, J. V., and Longhi, J. (1994)-TJ-35",51,4.27,16.4,12.6,0.26,4.22,6.71,3.57,1.03,0.14,0.87,,,48.26,1.35,9.69,14.9,0.25,14.1,9.52,1.14,,0.06,,1.6,1488.15,,,,,,
"Auwera, J. V., and Longhi, J. (1994)-TJ-4",47.1,4.21,12,17.8,0.18,3.4,7.28,2.93,2.02,,2.32,,,50.6,0.83,1.81,24.4,0.33,16.9,4.15,0.17,,0.01,,0.7,1368.15,,,,,,
