Initial Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,
Author - year - id,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K
"Almeev, R.A., Holtz, F., Koepke, J., Parat, F., Botcharnikov, R.E. (2007)-#146",50.10,1.54,14.78,11.35,0.23,7.52,11.49,2.40,0.09,,,,,50.42,0.62,6.72,7.21,0.19,15.55,17.27,0.61,0.01,,,0.2047,1448.15
"Almeev, R.A., Holtz, F., Koepke, J., Parat, F., Botcharnikov, R.E. (2007)-#62",50.40,1.19,15.76,9.52,0.18,7.98,12.20,2.30,0.07,,,,,51.14,0.61,5.31,7.68,0.15,16.36,16.34,0.81,0.04,,,0.2037,1443.15
Andujar and Scaillet (2012)-MB-111,59.90,0.70,19.00,2.96,0.21,0.32,0.66,10.60,5.70,0.00,0.00,4.56,,50.30,1.38,2.25,12.90,1.04,10.10,20.40,1.66,0.00,0.00,,0.2,1123.15
Andujar and Scaillet (2012)-MB-112,59.50,0.70,19.30,3.02,0.18,0.33,0.65,10.80,5.60,0.00,0.00,3.83,,50.90,1.02,1.31,12.50,0.94,10.70,21.30,1.27,0.00,0.00,,0.2,1123.15
Andujar and Scaillet (2012)-MB-113,59.60,0.60,19.00,3.11,0.22,0.29,0.68,10.80,5.70,0.00,0.00,3.31,,50.50,1.00,1.65,13.10,1.11,10.70,21.30,0.71,0.00,0.00,,0.2,1123.15
Andujar and Scaillet (2012)-MB-114,60.00,0.70,19.70,3.05,0.13,0.36,0.63,9.80,5.70,0.00,0.00,2.79,,50.90,1.27,1.88,12.00,0.95,11.00,21.20,0.74,0.00,0.00,,0.05,1123.15
Andujar and Scaillet (2012)-MB-117,59.40,0.70,19.40,3.24,0.31,0.37,0.65,10.20,5.80,0.00,0.00,1.98,,49.90,1.10,2.34,11.60,1.46,11.30,21.40,0.86,0.00,0.00,,0.05,1123.15
Andujar and Scaillet (2012)-MB-22,60.70,0.67,19.40,3.10,0.16,0.28,0.60,9.80,5.34,0.00,0.00,3.12,,52.30,0.86,0.85,11.30,1.14,11.90,20.80,0.92,0.00,0.00,,0.1,1123.15
Andujar and Scaillet (2012)-MB-43,60.74,0.66,19.70,3.09,0.19,0.28,0.61,9.40,5.40,0.00,0.00,2.79,,51.60,1.35,1.82,11.40,0.99,10.50,20.80,1.54,0.10,0.00,,0.05,1123.15
Andujar and Scaillet (2012)-MB-44,58.90,0.62,20.40,3.18,0.22,0.32,0.78,10.40,5.24,0.00,0.00,2.55,,50.20,2.13,2.45,12.30,1.03,9.60,20.50,1.68,0.00,0.00,,0.05,1123.15
Andujar and Scaillet (2012)-MB-57,61.50,0.31,19.40,2.67,0.15,0.18,0.45,10.10,5.21,0.00,0.00,5.53,,50.60,0.96,2.13,14.90,1.30,7.20,19.90,1.70,0.30,0.00,,0.2,1073.15
Andujar and Scaillet (2012)-MB-58,60.30,0.47,20.20,2.36,0.25,0.18,0.54,10.50,5.23,0.00,0.00,4.79,,50.00,1.11,2.79,14.50,1.25,7.10,18.60,2.04,0.44,0.00,,0.2,1073.15
Andujar et al. (2008)-18,60.50,0.75,19.70,3.00,0.23,0.30,0.50,10.10,4.90,0.00,0.00,0.90,,48.70,3.13,3.12,12.24,1.03,9.53,17.68,3.67,0.08,0.00,,0.05,1123.15
Andujar et al. (2008)-20,62.40,0.38,20.30,2.40,0.22,0.14,0.40,9.60,4.20,0.00,0.00,9.90,,47.40,2.51,3.62,13.83,1.78,8.13,16.40,4.37,0.04,0.00,,0.25,1048.15
